Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,91.639999,93.650002,91.639999,93.339996,88.235153,8152700
2019-01-03,93.209999,94.709999,92.699997,92.860001,87.781403,8277300
2019-01-04,93.209999,93.660004,92.690002,93.440002,88.329674,8029100
2019-01-07,93.620003,95.169998,93.180000,94.540001,89.369522,7789700
2019-01-08,95.059998,95.760002,93.910004,95.199997,89.993423,7200900
2019-01-09,95.709999,96.139999,94.769997,94.889999,89.700378,6272300
2019-01-10,93.879997,94.980003,93.120003,94.959999,89.766556,9396300
2019-01-11,94.989998,95.290001,94.550003,94.839996,89.653107,5394600
2019-01-14,94.480003,95.449997,94.279999,94.949997,89.757095,7085100
2019-01-15,95.470001,96.599998,95.379997,96.250000,90.986000,7058200
2019-01-16,95.930000,96.860001,95.830002,96.349998,91.080528,5410000
2019-01-17,96.320000,97.209999,96.160004,96.739998,91.449203,5614500
2019-01-18,96.949997,98.199997,96.849998,97.730003,92.385063,6120600
2019-01-22,97.150002,98.430000,96.779999,97.489998,92.158188,8063200
2019-01-23,98.870003,99.349998,97.529999,98.709999,93.311462,8345800
2019-01-24,98.199997,98.459999,96.430000,98.360001,92.980591,7609700
2019-01-25,98.750000,98.910004,96.750000,96.940002,91.638268,7218200
2019-01-28,96.529999,97.070000,96.080002,97.059998,91.751709,5875800
2019-01-29,96.769997,97.160004,96.510002,96.709999,91.420845,5253400
2019-01-30,96.680000,96.800003,94.260002,94.800003,89.615303,11849300
2019-01-31,94.629997,96.870003,94.629997,95.830002,90.588966,14723000
2019-02-01,95.919998,96.000000,93.110001,93.860001,88.726715,12591900
2019-02-04,93.860001,94.769997,93.349998,94.769997,89.586937,7268600
2019-02-05,95.250000,95.940002,95.019997,95.599998,90.371544,6099900
2019-02-06,95.430000,96.010002,95.220001,95.639999,90.409363,4264900
2019-02-07,95.110001,96.820000,95.000000,96.730003,91.439751,7010100
2019-02-08,96.339996,96.690002,95.139999,95.580002,90.352661,6169200
2019-02-11,95.650002,96.349998,95.639999,96.199997,90.938728,5542800
2019-02-12,96.820000,97.169998,96.500000,96.970001,91.666618,5881300
2019-02-13,97.300003,98.000000,97.089996,97.940002,92.583580,5458500
2019-02-14,97.680000,99.199997,97.019997,98.519997,93.131851,7200800
2019-02-15,98.980003,100.000000,98.860001,99.989998,94.521454,9481000
2019-02-19,102.379997,104.180000,102.070000,102.199997,96.610603,20697300
2019-02-20,101.809998,102.339996,98.650002,99.879997,94.417465,17631800
2019-02-21,99.660004,99.919998,98.910004,99.389999,93.954277,6413200
2019-02-22,99.820000,100.160004,99.139999,99.550003,94.105507,8086900
2019-02-25,100.120003,100.129997,99.050003,99.120003,93.699043,9235000
2019-02-26,99.019997,99.059998,97.870003,98.690002,93.292564,8488100
2019-02-27,98.120003,98.389999,97.589996,98.110001,92.744278,7902300
2019-02-28,98.110001,99.470001,97.769997,98.989998,93.576141,11375900
2019-03-01,99.470001,99.559998,97.120003,97.930000,92.574127,10352500
2019-03-04,98.120003,98.589996,97.370003,97.849998,92.498497,7683800
2019-03-05,98.129997,99.190002,98.089996,98.339996,92.961693,6119300
2019-03-06,98.269997,99.000000,97.860001,98.260002,92.886070,4696600
2019-03-07,97.709999,98.199997,97.239998,97.449997,92.120361,6126600
2019-03-08,97.550003,98.419998,97.000000,97.589996,92.252701,5659000
2019-03-11,98.040001,98.580002,97.820000,98.480003,93.094048,5345300
2019-03-12,98.529999,98.739998,98.050003,98.370003,92.990067,5070500
2019-03-13,98.699997,99.349998,98.389999,99.029999,93.613960,5482300
2019-03-14,98.410004,98.430000,97.589996,98.220001,93.347839,4925800
2019-03-15,98.279999,98.510002,97.599998,98.419998,93.537949,14600000
2019-03-18,98.300003,99.769997,98.260002,99.660004,94.716423,5770100
2019-03-19,99.989998,100.489998,99.570000,99.849998,94.896988,5414400
2019-03-20,99.199997,99.550003,98.540001,98.639999,93.747032,6323100
2019-03-21,98.250000,99.129997,98.099998,99.059998,94.146179,6551000
2019-03-22,98.580002,99.529999,97.940002,98.279999,93.404877,6708100
2019-03-25,97.800003,98.620003,97.629997,98.169998,93.300316,5407400
2019-03-26,98.360001,98.849998,98.029999,98.320000,93.442894,4945900
2019-03-27,98.139999,98.860001,95.000000,97.209999,92.387939,8471200
2019-03-28,97.589996,97.870003,96.529999,97.129997,92.311920,8054300
2019-03-29,97.589996,97.669998,97.040001,97.529999,92.692093,7439900
2019-04-01,97.970001,98.360001,97.559998,97.820000,92.967697,8505800
2019-04-02,97.760002,98.309998,96.900002,96.940002,92.131348,6274000
2019-04-03,97.120003,97.400002,96.790001,97.190002,92.368950,5687500
2019-04-04,97.250000,98.279999,97.239998,98.110001,93.243309,4026300
2019-04-05,98.250000,99.199997,98.160004,98.830002,93.927597,4656000
2019-04-08,98.449997,99.250000,98.260002,99.230003,94.307739,5422400
2019-04-09,98.800003,99.230003,98.150002,98.690002,93.794540,4367500
2019-04-10,98.510002,99.720001,98.500000,99.599998,94.659393,4091100
2019-04-11,99.699997,100.830002,99.470001,100.800003,95.799866,5606900
2019-04-12,101.000000,102.019997,101.000000,101.559998,96.522163,5162000
2019-04-15,101.300003,102.910004,101.260002,102.430000,97.349014,5111900
2019-04-16,102.889999,103.389999,102.540001,102.930000,97.824203,4828400
2019-04-17,103.000000,103.400002,102.410004,103.160004,98.042801,3729200
2019-04-18,103.110001,103.800003,102.889999,103.180000,98.061806,3727800
2019-04-22,102.779999,103.540001,102.169998,102.370003,97.292000,5079400
2019-04-23,102.529999,103.290001,101.940002,103.070000,97.957275,5050800
2019-04-24,103.139999,103.849998,103.089996,103.529999,98.394440,4697800
2019-04-25,103.239998,104.150002,102.830002,103.519997,98.384941,3961100
2019-04-26,100.449997,102.339996,99.660004,101.529999,96.493660,8107700
2019-04-29,101.879997,102.000000,100.779999,101.559998,96.522163,6379700
2019-04-30,101.769997,102.919998,101.449997,102.839996,97.738663,6133600
2019-05-01,102.769997,102.809998,101.279999,101.360001,96.332077,5337200
2019-05-02,101.430000,102.059998,100.239998,101.150002,96.132507,5007000
2019-05-03,102.320000,102.750000,101.800003,102.080002,97.016365,5316900
2019-05-06,100.750000,102.550003,100.540001,102.459999,97.377518,4613700
2019-05-07,101.800003,102.169998,100.760002,101.300003,96.275070,4575600
2019-05-08,100.250000,101.040001,99.860001,100.300003,95.324669,5882000
2019-05-09,99.269997,99.940002,98.849998,99.540001,95.104919,6240100
2019-05-10,99.760002,102.110001,99.699997,101.910004,97.369331,8742700
2019-05-13,100.449997,101.150002,99.010002,99.889999,95.439316,7361500
2019-05-14,100.139999,100.870003,99.889999,100.290001,95.821487,6353700
2019-05-15,100.199997,100.360001,99.129997,99.879997,95.429756,6740300
2019-05-16,102.830002,103.959999,100.839996,101.309998,96.796043,17122000
2019-05-17,100.239998,101.949997,99.910004,100.860001,96.366104,12371300
2019-05-20,100.389999,101.980003,100.250000,101.519997,96.996696,7194100
2019-05-21,101.510002,101.650002,100.400002,101.120003,96.614532,6889100
2019-05-22,101.599998,102.430000,101.059998,102.230003,97.675064,7340900
2019-05-23,101.820000,101.930000,100.650002,101.860001,97.321541,6454600
2019-05-24,102.180000,102.889999,102.080002,102.669998,98.095459,4483200
2019-05-28,102.559998,103.570000,102.400002,102.419998,97.856598,10271700
2019-05-29,102.110001,102.879997,101.470001,102.120003,97.569969,6520200
2019-05-30,102.489998,103.489998,101.910004,102.190002,97.636841,5019600
2019-05-31,101.349998,102.019997,100.599998,101.440002,96.920258,5927500
2019-06-03,101.629997,102.680000,101.400002,101.959999,97.417091,6614700
2019-06-04,102.610001,102.650002,101.440002,102.559998,97.990349,5964900
2019-06-05,102.750000,104.779999,102.599998,104.419998,99.767471,6902900
2019-06-06,104.489998,105.660004,104.199997,105.110001,100.426750,8063700
2019-06-07,105.230003,106.360001,105.050003,106.059998,101.334412,6809400
2019-06-10,106.480003,107.779999,106.370003,107.519997,102.729355,6325700
2019-06-11,108.000000,108.970001,107.750000,107.940002,103.130653,6747300
2019-06-12,107.919998,108.910004,107.919998,108.820000,103.971428,4635100
2019-06-13,109.000000,109.580002,108.169998,108.650002,103.809013,5485000
2019-06-14,108.779999,109.589996,108.459999,109.070000,104.210281,4525900
2019-06-17,109.120003,109.550003,108.260002,109.160004,104.296295,4147000
2019-06-18,109.800003,109.959999,108.910004,109.650002,104.764442,4911200
2019-06-19,109.800003,109.839996,108.870003,109.620003,104.735802,3924600
2019-06-20,109.820000,110.489998,109.279999,110.320000,105.404594,5001500
2019-06-21,110.339996,112.190002,110.260002,111.129997,106.178520,13178600
2019-06-24,111.489998,112.220001,111.029999,111.239998,106.283607,6032800
2019-06-25,110.879997,111.430000,110.400002,110.720001,105.786781,6105000
2019-06-26,110.849998,111.080002,110.099998,110.160004,105.251740,4161700
2019-06-27,110.059998,110.510002,108.860001,110.099998,105.194420,5481300
2019-06-28,110.550003,111.510002,110.239998,110.489998,105.567024,6506700
2019-07-01,111.300003,111.970001,110.019997,110.620003,105.691238,5514700
2019-07-02,110.830002,111.610001,110.339996,111.599998,106.627571,4062900
2019-07-03,111.180000,112.400002,111.000000,112.320000,107.315514,3207300
2019-07-05,112.000000,112.239998,111.209999,111.980003,106.990646,3579400
2019-07-08,111.919998,112.930000,111.699997,112.720001,107.697678,4715700
2019-07-09,112.889999,113.379997,112.599998,112.879997,107.850540,5423400
2019-07-10,113.120003,113.610001,112.389999,112.980003,107.946091,4579000
2019-07-11,113.339996,113.940002,113.019997,113.919998,108.844215,3896600
2019-07-12,114.089996,114.769997,113.620003,114.599998,109.493896,3743300
2019-07-15,114.669998,115.080002,114.449997,114.980003,109.856987,3346000
2019-07-16,115.330002,115.489998,114.040001,114.760002,109.646774,3488200
2019-07-17,114.809998,115.169998,114.199997,114.599998,109.493896,2688500
2019-07-18,114.349998,114.779999,113.739998,114.720001,109.608559,3223600
2019-07-19,115.000000,115.309998,113.860001,113.900002,108.825096,3796300
2019-07-22,114.099998,114.339996,112.320000,112.820000,107.793205,4516900
2019-07-23,113.120003,113.199997,111.570000,112.089996,107.095749,5754200
2019-07-24,112.029999,112.790001,111.570000,112.000000,107.009735,4177300
2019-07-25,112.180000,112.389999,111.660004,112.220001,107.219948,3851500
2019-07-26,112.120003,113.339996,111.820000,113.019997,107.984291,4729000
2019-07-29,112.839996,112.980003,111.760002,112.269997,107.267731,3746600
